source,target
59386,44214
59386,32685
59386,71812
59386,22258
59386,45947
6884,74572
6884,55456
6884,33030
6884,72008
6884,28892
58145,1437
58145,40418
58145,3559
58145,63061
66587,46519
66587,47654
66587,21812
66587,21195
66587,2222
59978,14376
59978,20182
59978,18579
59978,64804
59978,45677
73548,19869
73548,22307
73548,71286
73548,17788
73548,48240
37131,833
37131,69579
37131,52561
37131,27939
37131,28498
17484,55047
17484,35229
17484,44826
17484,53242
17484,6246
50702,13778
50702,66257
50702,55395
50702,36766
50702,14593
27797,44371
8904,2598
8904,33410
8904,982
8904,49057
8904,53539
72418,3060
72418,16615
72418,3980
72418,75115
72418,19787
1728,64190
1728,29862
1728,7265
1728,70603
1728,15443
2313,26541
2313,37838
2313,51671
2313,31865
2313,73653
77043,51971
77043,66225
77043,68813
77043,7879
77043,2869
42349,68687
42349,22462
42349,55308
42349,47404
42349,36046
33778,20051
33778,28051
33778,27343
33778,25959
33778,41284
66246,66246
42569,50842
42569,12667
42569,77775
42569,37659
42569,18609
50978,22307
50978,11987
50978,63668
50978,49293
50978,1134
37190,47043
37190,33351
37190,46875
37190,926
37190,8090
29330,67086
29330,67231
29330,34967
29330,35526
29330,55530
49678,1922
49678,54151
49678,48397
49678,35550
49678,62868
47277,12
47277,6842
47277,31319
47277,51312
47277,54277
47439,43768
47439,45518
471,38863
471,71797
471,53380
471,9413
471,44651
52640,7198
52640,28531
52640,45159
52640,32347
52640,59857
36751,38073
36751,36136
36751,653
36751,31254
36751,11568
13101,13101
4137,70049
4137,53102
4137,53564
4137,18269
4137,24628
20228,76809
20228,63659
20228,29858
20228,52562
20228,13103
46656,31874
46656,16394
46656,56123
46656,3353
46656,22102
14362,3985
14362,73072
14362,12748
14362,37407
14362,60144
45900,47564
45900,59380
45900,3188
45900,57073
45900,39446
40375,23341
40375,41595
40375,7636
40375,27763
40375,73935
69017,69017
31231,4950
31231,36397
31231,66775
31231,49634
31231,40233
39241,59460
39241,30588
39241,11133
6791,58231
6791,37139
6791,42076
6791,62491
6791,40138
28818,21572
28818,113
28818,42123
28818,67693
28818,42891
66966,77628
66966,39947
66966,76901
66966,5800
66966,74309
36136,65559
36136,48463
36136,37186
36136,36751
36136,11568
61018,19208
61018,52469
61018,2041
61018,65329
61018,2209
50497,50497
41268,41268
29177,39096
29177,59910
29177,57642
29177,60224
29177,57203
32807,9240
32807,77598
32807,61861
32807,33975
32807,40370
2140,48877
2140,4786
2140,49218
2140,46456
2140,69374
39493,67253
39493,65323
39493,34581
39493,60800
39493,76553
74676,27426
74676,54121
74676,66876
74676,43566
8239,38385
8239,45661
8239,58529
8239,47107
8239,43723
22621,13054
22621,63721
22621,77522
22621,10462
22621,18612
31540,78122
31540,4593
31540,33455
31540,9321
31540,1913
6803,32476
6803,5175
2473,15020
2473,12343
2473,1642
2473,5238
2473,27047
18540,14292
18540,42570
18540,49635
18540,42152
18540,38732
51855,62174
51855,68851
51855,9916
51855,74582
51855,48397
25994,18096
25994,49838
25994,47010
25994,4854
25994,1863
6395,8966
6395,54908
6395,53932
6395,17739
6395,32383
20045,63598
20045,36608
20045,6247
20045,26785
20045,59963
17697,14593
17697,70742
17697,17788
17697,26217
17697,11911
76266,60051
76266,66447
76266,33074
76266,60939
76266,69923
69441,14204
69441,31355
69441,58032
69441,43638
69441,9335
3701,10816
3701,50308
3701,15205
3701,17704
3701,37391
72213,11978
28883,36808
28883,63802
28883,27703
28883,43939
28883,45677
4376,40744
4376,62236
4376,8518
4376,57564
4376,55854
4518,4518
51591,6751
51591,10461
51591,36656
51591,6842
51591,67086
51629,12556
51629,19717
51629,52658
51629,11479
51629,61065
15215,55269
15215,2836
15215,6235
15215,33236
15215,62530
13419,52796
13419,9022
13419,27830
13419,56098
13419,52640
69146,67612
69146,26183
69146,14454
69146,30124
69146,413
14705,25586
14705,42378
14705,64965
14705,77671
14705,3887
47504,35098
47504,78146
47504,53703
47504,14514
47504,75061
13019,50975
13019,48397
13019,23390
13019,17990
13019,42861
68211,38959
68211,15376
68211,54484
68211,3474
68211,60733
63517,16484
22449,73587
22449,5617
22449,47615
22449,3490
22449,59053
69133,69133
12855,53273
12855,51539
12855,24259
12855,40072
12855,22696
72373,2577
72373,19206
72373,39993
72373,51924
72373,4114
31154,16105
31154,8411
31154,62145
31154,49239
31154,8369
29862,53768
29862,68598
29862,70743
29862,35625
29862,59198
23223,23223
62293,36462
62293,78237
62293,53096
62293,10814
62293,2623
44692,16256
44692,42479
44692,53181
44692,71697
44692,22311
41017,51074
41017,48069
41017,10006
41017,29859
41017,63609
19915,47179
19915,14287
19915,67523
19915,54987
19915,16146
6478,6478
65365,41579
65365,67303
65365,31678
65365,70182
65365,75775
65547,43662
65547,34474
65547,43723
65547,33987
65547,51855
41784,63310
41784,23857
41784,67273
41784,75524
41784,69892
61802,41003
3854,9976
3854,69923
12575,51506
12575,54002
12575,21521
12575,23695
12575,34188
46959,6124
19700,200
19700,55456
19700,72008
19700,3714
19700,6884
67582,27179
67582,32269
67582,19241
67582,2178
67582,25758
55197,29152
55197,30098
55197,13778
55197,70742
55197,17788
69906,69906
76956,24532
76956,19135
76956,52173
76956,70009
76956,41043
75970,55554
75970,30873
75970,703
75970,28826
75970,27341
28881,16294
28881,72481
28881,30482
28881,24811
28881,55446
34511,64554
34511,11716
34511,34446
34511,19184
34511,34783
14962,9163
14962,72560
14962,17931
14962,75859
14962,65784
62361,40684
62361,32126
62361,40985
62361,23233
62361,53181
56253,64015
56253,46292
56253,50031
56253,4565
56253,41404
66828,951
66828,38927
66828,28937
66828,66108
66828,77919
43851,70067
43851,2978
43851,33325
43851,40545
43851,9291
32141,7052
32141,21177
32141,64661
32141,15086
32141,2981
41423,12437
41423,41398
41423,66892
41423,9260
41423,4075
37521,7318
37521,17333
37521,73456
37521,3364
37521,4350
24094,13900
24094,6834
24094,78352
24094,18024
24094,22319
62494,62494
2041,55122
2041,42570
2041,76562
2041,65329
2041,62868
66453,62881
66453,8072
66453,1401
66453,64617
18030,64086
18030,133
18030,36928
18030,67974
18030,21986
34922,44505
34922,50367
34922,6611
34922,52290
34922,252
60774,6312
60774,26145
60774,51627
60774,22133
60774,21580
60673,45985
60673,61687
60673,7209
60673,51657
60673,77800
12291,46509
12291,20669
12291,5009
12291,57253
12291,45560
24864,4765
24864,51180
24864,22628
24864,29184
24864,14947
76252,53622
76252,75728
76252,69026
76252,76937
76252,67241
13371,5670
13371,60916
13371,28883
13371,64591
13371,24434
61514,40770
61514,23229
61514,76133
61514,60865
61514,69499
61662,61662
36957,68059
36957,48238
36957,17071
36957,6726
36957,47629
25350,69428
25350,50851
25350,71425
25350,17195
25350,53360
35350,18231
35350,32192
35350,54196
35350,5239
35350,76968
39814,65482
39814,17788
39814,5670
39814,12597
39814,11987
31844,39514
31844,25350
31844,52559
31844,16093
31844,53360
4383,4383
75232,51559
75232,53407
75232,73268
75232,62164
75232,31577
1491,67242
1491,70799
1491,36470
1491,31619
1491,68218
56160,62626
56160,3761
56160,28531
56160,24761
56160,9031
35013,27432
35013,66369
35013,2074
35013,48873
35013,64878
36578,77851
36578,51491
36578,453
36578,33915
36578,9899
13175,56611
13175,16473
13175,55456
13175,28892
13175,58719
75578,31103
75578,9127
75578,14881
75578,49683
75578,5175
25742,75423
25742,39094
25742,58753
25742,60811
25742,46220
1922,48397
1922,54151
1922,62868
1922,49678
1922,35550
77234,78197
77234,9439
77234,52185
77234,27948
77234,6274
3724,59515
3724,46821
3724,17440
3724,57007
3724,48364
29416,53288
29416,21025
29416,19440
29416,36835
29416,59857
1450,8768
1450,20959
1450,45950
1450,76077
1450,77694
12262,12262
27777,70908
27777,6174
27777,51732
27777,57463
27777,70007
49656,73557
49656,56885
49656,25376
49656,4630
49656,2238
24060,34434
24060,22337
24060,28497
24060,73268
24060,10591
33460,5670
33460,13371
33460,12136
33460,44506
33460,28883
13392,39647
13392,75524
13392,39974
13392,18183
13392,49360
56964,35425
56964,70775
56964,72008
56964,43516
56964,6884
71405,54916
71405,14872
71405,1975
71405,6409
71405,67590
47107,51375
47107,58529
47107,45661
47107,29770
47107,22319
72496,41762
72496,31618
72496,32378
72496,2308
72496,50523
3737,66646
3737,3266
3737,63289
3737,58407
3737,14769
71732,53360
71732,66444
71732,25350
71732,76937
71732,17195
3188,67998
3188,2674
3188,57073
3188,49502
3188,5897
9190,71290
9190,10857
9190,24462
9190,46266
9190,17296
48847,18183
48847,75524
48847,76828
48847,49360
48847,5052
33744,47330
33744,32983
33744,63188
33744,54662
33744,48195
46666,26595
46666,54821
46666,63076
46666,77441
46666,35643
77974,57830
77974,59126
77974,18753
77974,47873
77974,61680
57592,2843
57592,7613
57592,34774
57592,5556
57592,39506
9150,60677
9150,37827
9150,17980
9150,11322
9150,66451
1853,19280
1853,57377
1853,75952
1853,8994
1853,44995
38535,65329
38535,2041
38535,44185
38535,61018
38535,46726
50195,7237
50195,40620
50195,65961
50195,76620
50195,41663
11987,22307
11987,63668
11987,71286
11987,12597
11987,17788
9998,12725
9998,30798
9998,71328
9998,9729
9998,58905
75401,75401
59335,16380
59335,68633
59335,9281
59335,32748
59335,72467
46997,44277
46997,35033
46997,59991
46997,50757
46997,17870
48467,63879
48467,7612
48467,32445
48467,68195
48467,11399
28925,28771
28925,70852
28925,48602
28925,37165
28925,38195
15773,70103
15773,8986
15773,67253
15773,11812
15773,72406
26028,26028
25376,72408
25376,2238
25376,49579
25376,52482
25376,33464
40621,9151
40621,2647
54,31356
54,24597
54,39475
54,56067
54,47094
23553,62865
23553,12247
23553,55599
23553,28131
23553,69834
62984,9545
62984,51179
62984,37441
62984,74334
62984,3946
23157,5175
23157,45198
23157,69143
23157,10400
23157,68657
51323,75636
51323,56789
51323,5921
51323,67104
51323,20579
30425,6280
30425,28011
30425,19936
30425,14685
30425,49532
51232,17126
51232,10956
51232,47194
51232,30618
51232,42620
31263,40643
31263,44821
31263,5794
31263,70138
31263,40978
14355,74053
14355,2636
14355,26145
14355,75691
14355,57579
47713,60850
47713,30270
47713,48526
47713,52780
47713,57015
53799,16922
53799,72081
53799,58369
53799,21306
53799,76805
76833,14593
76833,60505
76833,19483
76833,15300
76833,59199
76828,18183
76828,48847
76828,49360
76828,75524
76828,13392
41506,53158
41506,7800
41506,56067
41506,65466
41506,67253
71031,73662
71031,67741
71031,63892
71031,45854
71031,24271
16833,1894
16833,30328
16833,46324
16833,37758
16833,442
39647,7244
39647,35277
39647,42152
39647,35550
39647,65260
58655,34523
58655,25038
58655,31934
58655,76093
58655,58632
56165,19717
56165,12556
56165,46829
56165,7198
56165,61065
64370,73884
64370,44044
64370,43794
64370,29439
64370,53205
21150,62849
21150,37865
21150,77578
21150,15061
21150,11658
15300,76833
15300,77277
15300,15476
15300,37794
15300,72633
4835,74867
4835,71121
4835,60026
4835,49262
4835,63624
2141,55269
2141,62352
2141,29139
2141,50294
2141,33236
12938,63668
12938,25498
12938,62202
12938,71286
12938,73548
6882,58111
6882,9000
6882,8745
6882,18508
6882,54277
20331,35681
20331,56548
20331,27110
20331,675
20331,21256
30228,9788
30228,20666
30228,33746
30228,2041
30228,65784
21544,7198
21544,34434
21544,19818
21544,18840
21544,54825
58369,15162
58369,41977
58369,16324
58369,13047
58369,5606
36607,35399
36607,78010
36607,9150
52301,36297
52301,33907
52301,5531
52301,21520
52301,24003
75467,19389
75467,50459
75467,7306
75467,64591
75467,27722
59579,2860
59579,63313
59579,8918
59579,47174
59579,52173
4750,45471
4750,35156
43079,65478
43079,60808
60508,15162
60508,68221
60508,2113
60508,56779
60508,19016
68774,10637
68774,38930
68774,29842
68774,42270
68774,32350
65517,65864
65517,33045
65517,55554
65517,703
65517,75970
7823,7823
49360,18183
49360,48847
49360,75524
49360,13392
49360,76828
66300,24106
66300,22673
66300,14191
66300,74853
66300,67179
57910,28201
57910,9087
57910,59279
57910,59138
57910,63026
52025,3862
52025,17087
52025,6000
52025,57455
52025,18110
76595,58812
76595,39108
76595,6417
76595,2355
76595,30579
63936,61931
63936,66620
63936,27451
63936,1924
63936,41191
44592,18718
44592,26243
44592,22883
44592,72481
44592,25498
54381,38196
54381,50179
54381,74763
54381,33428
54381,24138
11918,59782
11918,70049
11918,19603
11918,20846
11918,42767
3109,52665
3109,61968
3109,70160
3109,34149
3109,55746
31814,36039
31814,9507
31814,23944
31814,54344
31814,4640
57380,70579
57380,19658
57380,47546
57380,64994
57380,60594
54442,71390
54442,13486
54442,56242
54442,48201
54442,42526
70778,50978
70778,49293
70778,38687
70778,64802
70778,22307
71989,30264
71989,51983
71989,8210
71989,64801
71989,30496
16116,53340
16116,62081
16116,34719
16116,1393
16116,24146
39450,40099
39450,59976
39450,53517
39450,21265
39450,17419
52531,66904
52531,6346
52531,36787
52531,39897
52531,6216
71477,45075
71477,53914
71477,22947
71477,18424
71477,13641
13984,8813
13984,29408
13984,23062
13984,46809
13984,26023
71002,57402
71002,76937
71002,70799
71002,21186
71002,67242
37227,27451
37227,76220
37227,38407
37227,74628
37227,73328
4189,77754
4189,18407
4189,10469
4189,67857
4189,14822
16903,20192
16903,47054
16903,65296
16903,59647
16903,27768
71135,21162
71135,58014
71135,73768
71135,70925
71135,33366
5009,46509
5009,60036
5009,20669
5009,12291
5009,44801
41067,62596
41067,52731
41067,68467
41067,14479
41067,72480
45466,71168
45466,41380
45466,40895
45466,12315
45466,4047
35648,14518
35648,10432
35648,68039
35648,52640
35648,53622
27413,17287
27413,43970
27413,64318
27413,4111
27413,25101
53444,48498
53444,756
53444,60551
53444,71429
53444,5131
11061,66767
11061,70415
11061,40574
11061,40443
11061,63320
15892,65103
15892,30163
15892,51802
15892,3089
15892,23390
31047,23972
31047,51691
31047,37297
31047,52873
31047,57513
76415,26727
76415,48345
76415,53318
76415,27188
76415,3171
52501,61160
52501,41673
52501,11212
52501,19198
52501,71495
15348,12095
15348,33868
15348,59797
15348,55786
15348,7169
57153,24871
57153,52391
57153,59623
57153,58779
57153,5175
62917,303
62917,13306
64067,60356
64067,26591
64067,73483
64067,3929
64067,4078
33756,6312
33756,60774
33756,55122
33756,22133
33756,54742
25047,70579
25047,62432
25047,74070
25047,57519
25047,63461
940,1147
940,35806
940,56156
940,23465
940,24181
58309,20685
58309,16892
58309,5668
58309,21313
58309,11291
70579,19658
70579,25047
70579,66193
70579,22960
70579,24711
59439,28718
59439,27942
59439,13402
59439,1293
59439,947
22883,14593
22883,4713
22883,73548
22883,22307
22883,17788
27942,7668
27942,59439
27942,24463
27942,947
27942,13402
4667,19811
4667,2227
4667,3629
4667,6700
4667,33695
6595,74565
6595,51588
6595,5031
6595,4667
6595,68022
2232,838
2232,43723
2232,48941
2232,34474
2232,65417
49506,61345
49506,74345
49506,38013
49506,70611
49506,73303
41534,56960
41534,29331
41534,60825
41534,19901
41534,29388
58300,3188
58300,2674
58300,5897
58300,67998
58300,57073
37975,31480
37975,33849
37975,10949
37975,12538
37975,73457
45854,63892
45854,73662
45854,67741
45854,56818
45854,6032
30848,33988
30848,55406
30848,35803
30848,13643
30848,61105
28741,55308
28741,64559
28741,41836
28741,64599
28741,43772
75527,54767
75527,30163
75527,15983
75527,15072
75527,16601
58764,32545
58764,29012
58764,26759
58764,3879
58764,41827
67409,43662
67409,65547
67409,30973
67409,78415
67409,20382
18000,30144
18000,60856
18000,59508
18000,26684
18000,35269
29619,76750
29619,61269
29619,64918
29619,5994
29619,22238
37807,17839
37807,45897
37807,60664
37807,43478
37807,58701
61785,19054
61785,58030
61785,52469
61785,45579
61785,26882
26684,30434
26684,30144
26684,35784
26684,33394
26684,47414
49633,11326
49633,41082
49633,58890
49633,915
49633,69407
9545,62984
9545,51179
9545,60208
9545,3946
9545,74334
49838,18096
49838,25994
49838,53287
49838,46847
49838,44385
21064,17004
21064,14714
21064,36976
21064,10135
21064,44159
33074,76266
33074,13863
33074,37303
33074,33839
33074,809
67599,42345
67599,44035
67599,8907
67599,61127
67599,44495
70901,64777
70901,27846
70901,37091
70901,44127
70901,16000
17655,24271
17655,62868
17655,52804
17655,48364
17655,28507
28904,67476
28904,64679
28904,73081
28904,74318
28904,57234
71678,38799
71678,38568
71678,57166
71678,12559
71678,57188
19706,19706
32534,24235
32534,32757
32534,68975
32534,47516
32534,54821
24181,53525
24181,43566
24181,53165
24181,41435
24181,26358
32373,48021
32373,30234
32373,36046
32373,52912
32373,15123
74490,9481
74490,75275
74490,7834
74490,67140
74490,14241
8652,41689
8652,66418
8652,74603
8652,28939
8652,71999
12277,56006
12277,54837
12277,52658
12277,32856
12277,50815
3705,76562
3705,49678
3705,2041
3705,22133
3705,55122
46329,25133
46329,25498
46329,62202
46329,48397
46329,20638
67253,69499
67253,39493
67253,34581
67253,9695
67253,39475
15430,61544
15430,60304
15430,77327
15430,7497
15430,43412
15319,55119
15319,17196
15319,48397
15319,23390
15319,62202
60596,31091
60596,62024
60596,73500
60596,5670
60596,23294
51903,32809
51903,21642
51903,26009
51903,61033
51903,9197
51910,13279
51910,21090
51910,11426
51910,66084
51910,67029
3406,74396
3406,52372
3406,38130
3406,9265
3406,31898
18921,24241
18921,34435
18921,56689
18921,11140
18921,67728
50523,24052
50523,46344
50523,8564
50523,59797
50523,12095
45930,2526
45930,46481
45930,34357
45930,23857
45930,65260
36665,35662
36665,49228
36665,76894
36665,20665
36665,22834
29557,38192
29557,76864
29557,42144
29557,42150
29557,29062
47346,27619
47346,61115
47346,57960
47346,143
47346,6868
53108,22479
53108,75373
53108,35306
53108,31822
53108,76562
45493,24148
45493,64880
45493,53350
45493,11196
45493,52928
70049,49084
70049,50606
70049,5670
70049,68875
70049,70742
64575,26243
64575,33849
64575,59589
64575,23972
64575,12538
41816,48240
41816,46939
41816,19635
41816,19869
41816,45677
69757,50649
69757,29376
69757,70043
69757,50570
69757,72940
74275,19431
74275,66015
74275,66090
74275,63079
74275,55016
27612,3254
27612,1420
27612,35571
27612,14869
27612,25801
59681,54408
59681,27788
59681,18413
59681,72695
59681,12177
62202,63668
62202,23390
62202,48397
62202,25498
62202,3089
3244,7198
3244,31900
3244,13670
3244,20855
3244,13382
21186,69779
