source,target
8733,6049
8733,8768
8733,4730
8733,2338
8733,2225
2197,822
2197,1094
6637,7413
6637,8888
6637,3223
6637,3208
6637,6826
2734,8804
2734,7809
2734,1161
2734,4989
2734,4012
6874,7242
6874,6201
6874,8663
6874,7934
6874,177
7957,3219
7957,9977
7957,2225
7957,1655
7957,1884
4157,9167
5265,3219
5265,1655
5265,2091
5265,7957
5265,9977
853,6621
853,9659
853,7631
853,8921
853,9232
144,1945
144,6081
144,8335
144,10023
144,4981
1094,340
1094,505
1094,2042
1094,8616
1094,672
2091,3219
2091,7957
2091,2031
2091,5265
2091,2014
8586,1795
8586,2487
8586,1606
8586,2687
8586,5776
6071,6100
6071,3419
6071,6846
6071,4037
6071,381
7437,3890
7437,4867
7437,7957
7437,2997
7437,414
1896,5948
1896,2455
1896,4882
1896,4917
1896,7788
2014,5329
2014,9977
2014,1996
2014,3219
2014,1884
2000,2108
2000,6159
2000,7713
2000,4682
2000,9039
2749,5843
2749,339
2749,14
2749,7917
2749,10099
1702,10000
1702,5563
1702,3210
1702,7275
1702,820
8121,8974
8121,8593
8121,2771
8121,7761
8121,1873
3680,4187
3680,7815
3680,6883
3680,331
3680,3365
3049,9232
3049,6299
3049,5663
3049,6621
3049,557
4724,571
4724,3688
4724,7308
4724,3772
4724,8932
9534,5990
9534,7663
9534,2731
9534,2865
9534,510
452,7560
452,9659
452,8921
452,8231
452,4870
6097,9295
6097,3702
6097,6728
6097,8930
6097,5569
1996,2014
1996,5329
1996,4867
1996,3890
1996,3219
8132,7880
8132,2704
8132,4337
8132,5988
8132,7686
1485,7401
1485,7288
1485,338
1485,2511
1485,3217
9804,1897
9804,4177
9804,5054
9804,8527
9804,8440
3137,8863
3137,3175
3137,8270
3137,2556
3137,6665
9815,5211
9815,661
9815,5103
9815,4781
9815,3227
4455,4560
4455,1238
4455,1565
4455,7390
4455,9695
8319,4080
8319,3890
8319,5872
8319,1632
8319,7997
7537,3219
7537,2977
7537,7957
7537,1655
7537,388
5926,3516
5926,8432
5926,7596
5926,7201
5926,559
2313,1805
2313,4610
2313,6578
2313,9645
2313,2810
5196,1580
5196,1088
5196,8689
5196,5527
5196,3645
3464,469
3464,5128
3464,1800
