site,alexa_rank,daily_pageviews_per_visitor,daily_time_on_site,total_sites_linking_in,bounce_rate,normalized_alexa_rank,normalized_total_sites_linked_in,train_mask,test_mask,unlabel_mask,label,class_factorized
newamerica.org,0.013960470418373923,0.04814814814814815,0.0293141592920354,0.00011153014483073016,0.82,6.61505118463455e-06,0.39340794094611475,True,False,False,high,0
americanewscentral.com,0.30082383811739744,0.037037037037037035,0.0,2.9863262823528842e-05,0.0,2.1767877210372675e-07,0.3055860856004211,False,False,True,9,9
philstar.com,0.0014060777436521626,0.06370370370370369,0.051991150442477874,0.0016302903684273398,0.645,6.651085135582443e-05,0.572176636239139,False,False,True,9,9
911review.com,0.09365725288579357,0.0,0.0,0.0001715613976494565,0.0,9.063427471142064e-07,0.4221103289346043,False,False,True,9,9
edpnc.com,0.04052703236676142,0.06666666666666667,0.03650442477876106,2.4987628076830253e-05,0.581,2.2173221011266915e-06,0.29370591860816825,False,False,True,9,9
democraticunderground.com,0.0038126969204246913,0.13333333333333333,0.09900442477876106,0.001356340641097213,0.342,2.4470334145899665e-05,0.5599152644323356,False,True,False,mixed,1
influencewatch.org,0.021150170283104616,0.06666666666666667,0.03844026548672566,2.254981070348096e-05,0.6809999999999999,4.334531142193084e-06,0.28686406394817854,False,False,True,9,9
vittana.org,0.010688551016889323,0.040740740740740744,0.03733407079646018,5.3327255042015786e-05,0.878,8.668665489446753e-06,0.34423073578547503,False,False,True,9,9
moderndiplomacy.eu,0.008000023227021943,0.05555555555555555,0.03290929203539823,6.67352505954369e-05,0.778,1.1613341022172795e-05,0.359179283734422,False,False,True,9,9
transstudent.org,0.1871075230357268,0.037037037037037035,0.0,0.00010177887533733299,0.0,4.068960620787647e-07,0.3873100163037132,False,False,True,9,9
stalinsociety.org,0.09365725288579357,0.0,0.0,6.703997776710556e-06,0.0,9.063427471142064e-07,0.20601663330017211,False,False,True,9,9
thegrayzone.com,0.009223656459608069,0.05185185185185184,0.03263274336283186,2.955853565186018e-05,0.7240000000000001,1.006027723833711e-05,0.30490249433120664,False,False,True,9,9
idsa.in,0.01305667702423262,0.0962962962962963,0.04535398230088496,0.00022184138097478567,0.691,7.079429904424126e-06,0.4392406946429893,False,False,True,9,9
polytechnic.org,0.039457090839852584,0.05185185185185184,0.028484513274336282,8.654251675389991e-05,0.7120000000000001,2.2799878212079177e-06,0.37650167272240626,False,False,True,9,9
juliadavisnews.blogspot.com,0.09365725288579357,0.0,0.0,2.7425445450179547e-06,0.0,9.063427471142064e-07,0.14644406114040787,False,False,True,9,9
imowired.com,0.1787928111243199,0.037037037037037035,0.0,6.399270605041894e-06,0.0,4.301741524148787e-07,0.20291609451858425,True,False,False,low,2
msf-seasia.org,0.18243992185605634,0.07407407407407407,0.02350663716814159,9.14181515005985e-06,0.0,4.1970237364367485e-07,0.2266883241924118,False,False,True,9,9
